time_iso8601,forks_cumulative
2025-03-18 00:00:00+00:00,19
2025-03-19 00:00:00+00:00,56
2025-03-20 00:00:00+00:00,73
2025-03-21 00:00:00+00:00,86
2025-03-22 00:00:00+00:00,90
2025-03-23 00:00:00+00:00,97
2025-03-24 00:00:00+00:00,102
2025-03-25 00:00:00+00:00,114
2025-03-26 00:00:00+00:00,122
2025-03-27 00:00:00+00:00,127
2025-03-28 00:00:00+00:00,132
2025-03-29 00:00:00+00:00,135
2025-03-30 00:00:00+00:00,139
2025-03-31 00:00:00+00:00,146
2025-04-01 00:00:00+00:00,156
2025-04-02 00:00:00+00:00,163
2025-04-03 00:00:00+00:00,167
2025-04-04 00:00:00+00:00,172
2025-04-05 00:00:00+00:00,175
2025-04-06 00:00:00+00:00,178
2025-04-07 00:00:00+00:00,180
2025-04-08 00:00:00+00:00,184
2025-04-09 00:00:00+00:00,188
2025-04-10 00:00:00+00:00,194
2025-04-11 00:00:00+00:00,197
2025-04-12 00:00:00+00:00,199
2025-04-13 00:00:00+00:00,201
2025-04-14 00:00:00+00:00,204
2025-04-15 00:00:00+00:00,206
2025-04-16 00:00:00+00:00,209
2025-04-17 00:00:00+00:00,213
2025-04-18 00:00:00+00:00,218
2025-04-19 00:00:00+00:00,222
2025-04-20 00:00:00+00:00,223
2025-04-21 00:00:00+00:00,227
2025-04-22 00:00:00+00:00,230
2025-04-23 00:00:00+00:00,233
2025-04-24 00:00:00+00:00,234
2025-04-25 00:00:00+00:00,236
2025-04-27 00:00:00+00:00,237
2025-04-28 00:00:00+00:00,240
2025-04-29 00:00:00+00:00,243
2025-04-30 00:00:00+00:00,244
2025-05-01 00:00:00+00:00,245
2025-05-02 00:00:00+00:00,248
2025-05-04 00:00:00+00:00,250
2025-05-06 00:00:00+00:00,251
2025-05-07 00:00:00+00:00,252
2025-05-08 00:00:00+00:00,255
2025-05-09 00:00:00+00:00,258
2025-05-10 00:00:00+00:00,259
2025-05-12 00:00:00+00:00,263
2025-05-13 00:00:00+00:00,264
2025-05-16 00:00:00+00:00,266
2025-05-17 00:00:00+00:00,267
2025-05-18 00:00:00+00:00,268
2025-05-19 00:00:00+00:00,269
2025-05-21 00:00:00+00:00,271
2025-05-22 00:00:00+00:00,273
2025-05-23 00:00:00+00:00,275
2025-05-24 00:00:00+00:00,276
2025-05-25 00:00:00+00:00,277
2025-05-26 00:00:00+00:00,278
2025-05-27 00:00:00+00:00,280
2025-05-28 00:00:00+00:00,281
2025-05-29 00:00:00+00:00,282
2025-06-01 00:00:00+00:00,283
2025-06-02 00:00:00+00:00,284
2025-06-03 00:00:00+00:00,286
2025-06-05 00:00:00+00:00,287
2025-06-07 00:00:00+00:00,288
2025-06-10 00:00:00+00:00,289
2025-06-13 00:00:00+00:00,290
2025-06-14 00:00:00+00:00,291
2025-06-16 00:00:00+00:00,292
2025-06-17 00:00:00+00:00,293
2025-06-19 00:00:00+00:00,294
2025-06-20 00:00:00+00:00,295
2025-06-21 00:00:00+00:00,298
2025-06-22 00:00:00+00:00,300
2025-06-24 00:00:00+00:00,301
2025-06-26 00:00:00+00:00,302
2025-06-27 00:00:00+00:00,303
2025-06-28 00:00:00+00:00,305
2025-07-01 00:00:00+00:00,308
2025-07-02 00:00:00+00:00,310
2025-07-03 00:00:00+00:00,311
2025-07-04 00:00:00+00:00,312
2025-07-07 00:00:00+00:00,317
2025-07-08 00:00:00+00:00,319
2025-07-10 00:00:00+00:00,320
2025-07-11 00:00:00+00:00,321
2025-07-12 00:00:00+00:00,322
2025-07-13 00:00:00+00:00,325
2025-07-15 00:00:00+00:00,326
2025-07-16 00:00:00+00:00,327
2025-07-17 00:00:00+00:00,328
2025-07-18 00:00:00+00:00,331
2025-07-19 00:00:00+00:00,332
2025-07-20 00:00:00+00:00,334
2025-07-21 00:00:00+00:00,335
2025-07-23 00:00:00+00:00,336
2025-07-24 00:00:00+00:00,337
2025-07-25 00:00:00+00:00,339
2025-07-26 00:00:00+00:00,341
2025-07-27 00:00:00+00:00,342
2025-07-28 00:00:00+00:00,346
2025-07-31 00:00:00+00:00,348
2025-08-01 00:00:00+00:00,350
2025-08-02 00:00:00+00:00,352
2025-08-03 00:00:00+00:00,353
2025-08-04 00:00:00+00:00,354
2025-08-06 00:00:00+00:00,355
2025-08-09 00:00:00+00:00,356
2025-08-10 00:00:00+00:00,357
2025-08-11 00:00:00+00:00,358
2025-08-13 00:00:00+00:00,360
2025-08-14 00:00:00+00:00,363
2025-08-15 00:00:00+00:00,367
2025-08-16 00:00:00+00:00,369
2025-08-17 00:00:00+00:00,370
2025-08-20 00:00:00+00:00,373
2025-08-21 00:00:00+00:00,374
2025-08-23 00:00:00+00:00,376
2025-08-25 00:00:00+00:00,377
2025-08-27 00:00:00+00:00,378
2025-08-28 00:00:00+00:00,380
2025-08-29 00:00:00+00:00,381
2025-08-31 00:00:00+00:00,382
2025-09-01 00:00:00+00:00,383
2025-09-02 00:00:00+00:00,385
2025-09-03 00:00:00+00:00,386
2025-09-04 00:00:00+00:00,387
2025-09-05 00:00:00+00:00,388
2025-09-06 00:00:00+00:00,389
2025-09-07 00:00:00+00:00,391
2025-09-08 00:00:00+00:00,393
2025-09-09 00:00:00+00:00,396
2025-09-10 00:00:00+00:00,397
2025-09-12 00:00:00+00:00,399
2025-09-13 00:00:00+00:00,400
2025-09-14 00:00:00+00:00,401
2025-09-16 00:00:00+00:00,403
2025-09-17 00:00:00+00:00,404
2025-09-18 00:00:00+00:00,405
2025-09-19 00:00:00+00:00,407
2025-09-20 00:00:00+00:00,408
2025-09-22 00:00:00+00:00,413
2025-09-23 00:00:00+00:00,415
2025-09-24 00:00:00+00:00,418
2025-09-25 00:00:00+00:00,420
2025-09-26 00:00:00+00:00,422
2025-09-27 00:00:00+00:00,425
2025-09-28 00:00:00+00:00,427
2025-09-29 00:00:00+00:00,428
2025-09-30 00:00:00+00:00,430
2025-10-01 00:00:00+00:00,434
2025-10-02 00:00:00+00:00,437
2025-10-03 00:00:00+00:00,439
2025-10-05 00:00:00+00:00,441
2025-10-06 00:00:00+00:00,442
2025-10-07 00:00:00+00:00,444
2025-10-08 00:00:00+00:00,446
2025-10-09 00:00:00+00:00,448
2025-10-10 00:00:00+00:00,449
2025-10-11 00:00:00+00:00,450
2025-10-12 00:00:00+00:00,451
2025-10-15 00:00:00+00:00,454
2025-10-17 00:00:00+00:00,455
2025-10-18 00:00:00+00:00,456
2025-10-19 00:00:00+00:00,458
2025-10-20 00:00:00+00:00,460
2025-10-21 00:00:00+00:00,461
2025-10-22 00:00:00+00:00,463
2025-10-23 00:00:00+00:00,467
2025-10-24 00:00:00+00:00,468
2025-10-25 00:00:00+00:00,469
2025-10-26 00:00:00+00:00,471
2025-10-27 00:00:00+00:00,473
2025-10-28 00:00:00+00:00,474
2025-10-29 00:00:00+00:00,478
2025-10-31 00:00:00+00:00,480
2025-11-01 00:00:00+00:00,482
2025-11-02 00:00:00+00:00,485
2025-11-03 00:00:00+00:00,486
2025-11-04 00:00:00+00:00,487
2025-11-05 00:00:00+00:00,489
2025-11-06 00:00:00+00:00,492
2025-11-07 00:00:00+00:00,494
2025-11-08 00:00:00+00:00,499
2025-11-09 00:00:00+00:00,500
2025-11-10 00:00:00+00:00,502
2025-11-12 00:00:00+00:00,503
2025-11-15 00:00:00+00:00,506
2025-11-16 00:00:00+00:00,507
2025-11-17 00:00:00+00:00,509
2025-11-18 00:00:00+00:00,512
2025-11-19 00:00:00+00:00,517
2025-11-20 00:00:00+00:00,521
2025-11-22 00:00:00+00:00,522
2025-11-24 00:00:00+00:00,527
