time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,1699,406,1564,540
2025-10-25 00:00:00+00:00,789,288,1126,404
2025-10-26 00:00:00+00:00,558,292,827,368
2025-10-27 00:00:00+00:00,1046,391,1194,496
2025-10-28 00:00:00+00:00,920,367,1218,543
2025-10-29 00:00:00+00:00,877,363,1071,494
2025-10-30 00:00:00+00:00,936,370,1134,501
2025-10-31 00:00:00+00:00,1111,333,1010,394
2025-11-01 00:00:00+00:00,594,222,847,344
2025-11-02 00:00:00+00:00,471,254,641,301
2025-11-03 00:00:00+00:00,1372,414,1221,517
2025-11-04 00:00:00+00:00,1623,377,1267,537
2025-11-05 00:00:00+00:00,1287,388,1195,445
2025-11-06 00:00:00+00:00,936,389,1111,513
