time_iso8601,stars_cumulative
2025-03-18 00:00:00+00:00,89
2025-03-19 00:00:00+00:00,429
2025-03-20 00:00:00+00:00,615
2025-03-21 00:00:00+00:00,710
2025-03-22 00:00:00+00:00,758
2025-03-23 00:00:00+00:00,811
2025-03-24 00:00:00+00:00,866
2025-03-25 00:00:00+00:00,941
2025-03-26 00:00:00+00:00,987
2025-03-27 00:00:00+00:00,1030
2025-03-28 00:00:00+00:00,1060
2025-03-29 00:00:00+00:00,1090
2025-03-30 00:00:00+00:00,1111
2025-03-31 00:00:00+00:00,1144
2025-04-01 00:00:00+00:00,1175
2025-04-02 00:00:00+00:00,1197
2025-04-03 00:00:00+00:00,1238
2025-04-04 00:00:00+00:00,1261
2025-04-05 00:00:00+00:00,1292
2025-04-06 00:00:00+00:00,1314
2025-04-07 00:00:00+00:00,1348
2025-04-08 00:00:00+00:00,1376
2025-04-09 00:00:00+00:00,1410
2025-04-10 00:00:00+00:00,1439
2025-04-11 00:00:00+00:00,1467
2025-04-12 00:00:00+00:00,1487
2025-04-13 00:00:00+00:00,1504
2025-04-14 00:00:00+00:00,1520
2025-04-15 00:00:00+00:00,1542
2025-04-16 00:00:00+00:00,1568
2025-04-17 00:00:00+00:00,1590
2025-04-18 00:00:00+00:00,1615
2025-04-19 00:00:00+00:00,1636
2025-04-20 00:00:00+00:00,1650
2025-04-21 00:00:00+00:00,1676
2025-04-22 00:00:00+00:00,1695
2025-04-23 00:00:00+00:00,1712
2025-04-24 00:00:00+00:00,1736
2025-04-25 00:00:00+00:00,1759
2025-04-26 00:00:00+00:00,1771
2025-04-27 00:00:00+00:00,1785
2025-04-28 00:00:00+00:00,1796
2025-04-29 00:00:00+00:00,1807
2025-04-30 00:00:00+00:00,1819
2025-05-01 00:00:00+00:00,1827
2025-05-02 00:00:00+00:00,1831
2025-05-03 00:00:00+00:00,1840
2025-05-04 00:00:00+00:00,1846
2025-05-05 00:00:00+00:00,1855
2025-05-06 00:00:00+00:00,1869
2025-05-07 00:00:00+00:00,1886
2025-05-08 00:00:00+00:00,1896
2025-05-09 00:00:00+00:00,1903
2025-05-10 00:00:00+00:00,1907
2025-05-11 00:00:00+00:00,1916
2025-05-12 00:00:00+00:00,1925
2025-05-13 00:00:00+00:00,1935
2025-05-14 00:00:00+00:00,1942
2025-05-15 00:00:00+00:00,1950
2025-05-16 00:00:00+00:00,1959
2025-05-17 00:00:00+00:00,1964
2025-05-18 00:00:00+00:00,1969
2025-05-19 00:00:00+00:00,1979
2025-05-20 00:00:00+00:00,1983
2025-05-21 00:00:00+00:00,1988
2025-05-22 00:00:00+00:00,1993
2025-05-23 00:00:00+00:00,2010
2025-05-24 00:00:00+00:00,2014
2025-05-25 00:00:00+00:00,2018
2025-05-26 00:00:00+00:00,2023
2025-05-27 00:00:00+00:00,2037
2025-05-28 00:00:00+00:00,2046
2025-05-29 00:00:00+00:00,2052
2025-05-30 00:00:00+00:00,2062
2025-05-31 00:00:00+00:00,2069
2025-06-01 00:00:00+00:00,2078
2025-06-02 00:00:00+00:00,2089
2025-06-03 00:00:00+00:00,2101
2025-06-04 00:00:00+00:00,2107
2025-06-05 00:00:00+00:00,2116
2025-06-06 00:00:00+00:00,2119
2025-06-07 00:00:00+00:00,2131
2025-06-08 00:00:00+00:00,2140
2025-06-09 00:00:00+00:00,2151
2025-06-10 00:00:00+00:00,2154
2025-06-11 00:00:00+00:00,2167
2025-06-12 00:00:00+00:00,2181
2025-06-13 00:00:00+00:00,2186
2025-06-14 00:00:00+00:00,2189
2025-06-15 00:00:00+00:00,2196
2025-06-16 00:00:00+00:00,2209
2025-06-17 00:00:00+00:00,2219
2025-06-18 00:00:00+00:00,2230
2025-06-19 00:00:00+00:00,2239
2025-06-20 00:00:00+00:00,2249
2025-06-21 00:00:00+00:00,2253
2025-06-22 00:00:00+00:00,2260
2025-06-23 00:00:00+00:00,2268
2025-06-24 00:00:00+00:00,2274
2025-06-25 00:00:00+00:00,2284
2025-06-26 00:00:00+00:00,2292
2025-06-27 00:00:00+00:00,2300
2025-06-28 00:00:00+00:00,2310
2025-06-29 00:00:00+00:00,2315
2025-06-30 00:00:00+00:00,2321
2025-07-01 00:00:00+00:00,2329
2025-07-02 00:00:00+00:00,2337
2025-07-03 00:00:00+00:00,2345
2025-07-04 00:00:00+00:00,2356
2025-07-05 00:00:00+00:00,2363
2025-07-06 00:00:00+00:00,2369
2025-07-07 00:00:00+00:00,2377
